screening_id,assigned_user,proposal_id,status,due_date,date_start,date_created
1,2,1,3,,,
2,1,2,3,,,
3,-1,3,3,,,
4,1,4,3,,,
5,1,5,3,,,
6,3,6,0,,,
7,3,7,3,,,
8,3,8,3,,,
9,3,9,3,,,
10,2,10,3,,,
11,3,11,3,,,
12,1,12,3,,,
13,2,13,3,,,
14,1,14,3,,,
15,2,15,3,,,
16,-1,16,3,,,
17,2,17,3,,,
18,-1,18,0,,,
19,-1,19,3,,,
20,1,20,3,,,
21,1,21,3,,,
22,1,22,3,,,
23,2,23,3,,,
24,1,24,3,,,
25,1,25,3,,,
26,2,26,3,,,
27,2,27,3,,,
28,2,28,3,,,
29,2,29,3,,,
30,-1,30,0,,,
31,1,31,3,,,
32,1,32,3,,,
33,1,33,3,,,
34,2,34,3,,,
35,1,35,3,,,
36,1,36,-1,,,
37,-1,37,3,,,
38,2,38,3,,,
39,1,39,0,,,
40,1,40,3,,,
41,1,41,3,,,
42,-1,42,2,,,
43,-1,43,3,,,
44,1,44,3,,,
45,2,45,3,,,
46,1,46,3,,,
47,1,47,3,,,
48,1,48,3,,,
49,-1,49,3,,,
50,1,50,3,,,
51,-1,51,3,,,
52,-1,52,0,,,
53,-1,53,3,,,
54,-1,54,3,,,
55,-1,55,3,,,
56,-1,56,3,,,
57,-1,57,3,,,
58,-1,58,2,,,
59,-1,59,3,,,
60,-1,60,3,,,
61,-1,61,3,,,
62,-1,62,0,,,
63,-1,63,3,,,
64,-1,64,1,,,
65,-1,65,3,,,
66,-1,66,3,,,
67,-1,67,3,,,
68,-1,68,0,,,
69,-1,69,3,,,
70,-1,70,3,,,
71,-1,71,3,,,
72,-1,72,3,,,
73,-1,73,3,,,
74,-1,74,3,,,
75,-1,75,3,,,
76,-1,76,3,,,
77,-1,77,3,,,
78,-1,78,3,,,
79,-1,79,3,,,
80,-1,80,3,,,
81,-1,81,3,,,
82,-1,82,3,,,
83,-1,83,3,,,
84,-1,84,0,,,
85,-1,85,3,,,
86,-1,86,2,,,
87,-1,87,3,,,
88,-1,88,3,,,
89,-1,89,-1,,,
90,-1,90,1,,,
91,-1,91,3,,,
92,-1,92,3,,,
93,-1,93,3,,,
94,-1,94,3,,,
95,-1,95,-1,,,
96,-1,96,3,,,
97,-1,97,3,,,
98,-1,98,3,,,
99,-1,99,3,,,
100,-1,100,3,,,
101,-1,101,3,,,
102,-1,102,3,,,
103,-1,103,3,,,
104,-1,104,3,,,
105,-1,105,3,,,
106,-1,106,3,,,
107,-1,107,1,,,
108,-1,108,3,,,
109,-1,109,1,,,
110,-1,110,3,,,
111,-1,111,3,,,
112,-1,112,3,,,
113,-1,113,3,,,
114,-1,114,3,,,
115,-1,115,1,,,
116,-1,116,3,,,
117,-1,117,3,,,
118,-1,118,3,,,
119,-1,119,2,,,
120,-1,120,3,,,
121,-1,121,2,,,
122,-1,122,1,,,
123,-1,123,3,,,
124,-1,124,1,,,
125,-1,125,1,,,
126,-1,126,3,,,
127,-1,127,1,,,
128,-1,128,1,,,
129,-1,129,3,,,
130,-1,130,3,,,
131,-1,131,2,,,
132,-1,132,2,,,
133,-1,133,2,,,
134,-1,134,3,,,
135,-1,135,1,,,
136,-1,136,3,,,
137,-1,137,1,,,
138,-1,138,-1,,,
139,-1,139,2,,,
140,-1,140,2,,,
141,-1,141,3,,,
142,-1,142,1,,,
143,-1,143,1,,,
144,-1,144,1,,,
145,-1,145,1,,,
146,-1,146,1,,,
147,-1,147,3,,,
148,-1,148,3,,,
149,-1,149,2,,,
150,-1,150,1,,,
151,-1,151,1,,,
152,-1,152,1,,,
153,-1,153,1,,,
154,-1,154,3,,,
155,-1,155,3,,,
156,-1,156,3,,,
157,-1,157,1,,,
158,-1,158,3,,,
159,-1,159,1,,,
160,-1,160,3,,,
161,-1,161,3,,,
162,-1,162,1,,,
163,-1,163,3,,,
164,-1,164,1,,,
165,-1,165,1,,,
166,-1,166,1,,,
167,-1,167,1,,,
168,-1,168,0,,,
169,-1,169,3,,,
170,-1,170,1,,,
171,-1,171,3,,,
172,-1,172,1,,,
173,-1,173,3,,,
174,-1,174,1,,,
175,-1,175,2,,,
176,-1,176,3,,,
177,-1,177,2,,,
178,-1,178,3,,,
179,-1,179,1,,,
180,-1,180,3,,,
181,-1,181,3,,,
182,-1,182,1,,,
183,-1,183,1,,,
184,-1,184,1,,,
185,-1,185,3,,,
186,-1,186,3,,,
187,-1,187,1,,,
188,-1,188,3,,,
189,-1,189,3,,,
190,-1,190,1,,,
191,-1,191,1,,,
192,-1,192,1,,,
193,-1,193,2,,,
194,-1,194,3,,,
195,-1,195,3,,,
196,-1,196,3,,,
197,-1,197,-1,,,
198,-1,198,3,,,
199,-1,199,1,,,
200,-1,200,1,,,
201,-1,201,1,,,
202,-1,202,2,,,
203,-1,203,1,,,
204,-1,204,-1,,,
205,-1,205,-1,,,
206,-1,206,-1,,,
207,-1,207,-1,,,
208,-1,208,-1,,,
209,-1,209,-1,,,
210,-1,210,-1,,,
211,-1,211,-1,,,
212,-1,212,-1,,,
213,-1,213,-1,,,
214,-1,214,-1,,,
215,-1,215,-1,,,
216,-1,216,-1,,,
217,-1,217,-1,,,
218,-1,218,-1,,,
219,-1,219,-1,,,
220,-1,220,-1,,,
221,-1,221,-1,,,
222,-1,222,-1,,,
223,-1,223,-1,,,
224,-1,224,-1,,,
225,-1,225,-1,,,
226,-1,226,-1,,,
227,-1,227,-1,,,
228,-1,228,-1,,,
229,-1,229,-1,,,
230,-1,230,-1,,,
231,-1,231,-1,,,
232,-1,232,-1,,,
233,-1,233,-1,,,
234,-1,234,-1,,,
235,-1,235,-1,,,
236,-1,236,-1,,,
237,-1,237,-1,,,
238,-1,238,-1,,,
239,-1,239,-1,,,
240,-1,240,-1,,,
241,-1,241,-1,,,
242,-1,242,-1,,,
243,-1,243,-1,,,
244,-1,244,-1,,,
245,-1,245,-1,,,
246,-1,246,-1,,,
247,-1,247,-1,,,
248,-1,248,-1,,,
249,-1,249,-1,,,
250,-1,250,-1,,,
251,-1,251,-1,,,
252,-1,252,-1,,,
253,-1,253,-1,,,
254,-1,254,-1,,,
255,-1,255,-1,,,
256,-1,256,-1,,,
257,-1,257,-1,,,
258,-1,258,-1,,,
259,-1,259,-1,,,
260,-1,260,-1,,,
261,-1,261,-1,,,
262,-1,262,-1,,,
263,-1,263,-1,,,
264,-1,264,-1,,,
265,-1,265,-1,,,
266,-1,266,-1,,,
267,-1,267,-1,,,
268,-1,268,-1,,,
269,-1,269,-1,,,
270,-1,270,-1,,,
271,-1,271,-1,,,
272,-1,272,-1,,,
273,-1,273,-1,,,
274,-1,274,-1,,,
275,-1,275,-1,,,
276,-1,276,-1,,,
277,-1,277,-1,,,
278,-1,278,-1,,,
279,-1,279,-1,,,
280,-1,280,-1,,,
281,-1,281,-1,,,
282,-1,282,-1,,,
283,-1,283,-1,,,
284,-1,284,-1,,,
285,-1,285,-1,,,
286,-1,286,-1,,,
287,-1,287,-1,,,
288,-1,288,-1,,,
289,-1,289,-1,,,
290,-1,290,-1,,,
291,-1,291,-1,,,
292,-1,292,-1,,,
293,-1,293,-1,,,
294,-1,294,-1,,,
295,-1,295,-1,,,
296,-1,296,-1,,,
297,-1,297,-1,,,
298,-1,298,-1,,,
299,-1,299,-1,,,
300,-1,300,-1,,,
301,-1,301,-1,,,
302,-1,302,-1,,,
